gameid,user
295770,100pcBlade
192135,100pcBlade
281655,100pcBlade
315610,100pcBlade
251661,100pcBlade
300531,100pcBlade
242705,100rk
299659,100rk
169427,100rk
277659,100rk
251661,100rk
247763,100rk
224517,100rk
295770,100rk
235802,100rk
342942,100rk
256960,101100
251661,101100
299659,101100
291453,101100
242705,101100
270633,101100
246900,101100
284653,101100
322289,101100
291572,101100
299659,1024b
264220,1024b
235802,1024b
242705,1024b
218074,1024b
241451,1024b
224517,1024b
266507,1024b
262211,1024b
316377,1024b
328866,1031925187
316554,1031925187
248065,1031925187
233078,1031925187
224710,1031925187
218333,1031925187
281259,1031925187
218417,1031925187
280794,1031925187
291457,1031925187
169427,105JS2687S2003
295564,105JS2687S2003
174430,105JS2687S2003
251661,105JS2687S2003
167355,105JS2687S2003
192135,105JS2687S2003
246900,105JS2687S2003
345584,105JS2687S2003
235802,105JS2687S2003
248065,105JS2687S2003
349067,10Maverick
332686,10Maverick
242705,10Maverick
240196,10Maverick
321608,10Maverick
366161,10Maverick
218074,10Maverick
246900,10Maverick
255984,10Maverick
308119,10Maverick
242705,10erRingscheibe
251661,10erRingscheibe
235802,10erRingscheibe
325494,10erRingscheibe
295770,10erRingscheibe
233078,10erRingscheibe
342942,10erRingscheibe
284378,10erRingscheibe
321608,10erRingscheibe
224517,10erRingscheibe
314040,10up
242705,10up
325494,10up
251661,10up
295770,10up
321608,10up
235802,10up
308119,10up
342942,10up
284378,10up
242705,111dirk
284378,111dirk
227460,111dirk
325494,111dirk
186751,111dirk
251661,111dirk
169427,111dirk
321608,111dirk
233078,111dirk
206480,111dirk
264220,117010097
270633,117010097
245655,117010097
169427,117010097
242705,117010097
241451,117010097
218417,117010097
280794,117010097
322289,117010097
262211,117010097
186751,11dete
266507,11dete
220308,11dete
321608,11dete
251661,11dete
199792,11dete
284378,11dete
262941,11dete
276182,11dete
325494,11dete
251661,11ie
295770,11ie
242705,11ie
308119,11ie
291457,11ie
342942,11ie
364011,11ie
240980,11ie
235802,11ie
332686,11ie
251661,11maranzano
242705,11maranzano
295564,11maranzano
342942,11maranzano
246900,11maranzano
295770,11maranzano
310100,11maranzano
162886,11maranzano
270633,11maranzano
167355,11maranzano
242705,11turkkann
245655,11turkkann
266507,11turkkann
322289,11turkkann
262211,11turkkann
256916,11turkkann
218417,11turkkann
233078,11turkkann
206480,11turkkann
270633,11turkkann
242705,11xor6
295770,11xor6
364011,11xor6
169427,11xor6
251661,11xor6
251247,11xor6
246900,11xor6
321608,11xor6
341169,11xor6
220308,11xor6
242705,120004
295770,120004
169427,120004
233078,120004
310100,120004
220308,120004
246900,120004
364011,120004
271055,120004
321608,120004
242705,1234567
251661,1234567
295770,1234567
325494,1234567
332800,1234567
246900,1234567
349067,1234567
276182,1234567
364011,1234567
220308,1234567
255984,123Logdatei
170771,123Logdatei
364011,123Logdatei
310100,123Logdatei
291457,123Logdatei
315610,123Logdatei
336382,123Logdatei
279537,123Logdatei
312484,123Logdatei
345584,123Logdatei
174430,123ehdrmfl
349067,123ehdrmfl
266192,123ehdrmfl
295770,123ehdrmfl
170771,123ehdrmfl
281655,123ehdrmfl
291457,123ehdrmfl
240196,123ehdrmfl
366161,123ehdrmfl
332686,123ehdrmfl
237179,12from1
240980,12from1
338834,12from1
311988,12from1
284378,12from1
206480,12from1
284083,12from1
256999,12from1
321608,12from1
299659,12from1
242705,12henry14
251661,12henry14
295770,12henry14
321608,12henry14
284378,12henry14
281655,12henry14
224517,12henry14
341169,12henry14
251247,12henry14
314040,12henry14
321608,12is
251661,12is
262941,12is
231733,12is
255984,12is
270633,12is
299659,12is
256960,12is
266192,12is
246900,12is
242705,12mchristian
364011,12mchristian
295770,12mchristian
251661,12mchristian
246900,12mchristian
266507,12mchristian
233078,12mchristian
186751,12mchristian
341169,12mchristian
237182,12mchristian
251661,1304654
295770,1304654
310100,1304654
291572,1304654
185343,1304654
167355,1304654
162886,1304654
332800,1304654
270633,1304654
266507,1304654
325494,134340
295770,134340
308119,134340
251661,134340
299659,134340
242705,134340
235802,134340
245655,134340
284378,134340
233078,134340
242705,13atman
295770,13atman
291457,13atman
308119,13atman
270633,13atman
332800,13atman
284378,13atman
224517,13atman
251661,13atman
220308,13atman
349067,13obscur
251661,13obscur
308119,13obscur
235802,13obscur
321608,13obscur
324856,13obscur
335764,13obscur
277659,13obscur
281655,13obscur
240980,13obscur
242705,13rett
251661,13rett
342942,13rett
325494,13rett
270633,13rett
295770,13rett
169427,13rett
299659,13rett
335764,13rett
366161,13rett
295770,13scorpion
169427,13scorpion
321608,13scorpion
308119,13scorpion
233078,13scorpion
270633,13scorpion
246900,13scorpion
174430,13scorpion
227460,13scorpion
325494,13scorpion
314040,13teti13
295895,13teti13
349067,13teti13
315610,13teti13
366013,13teti13
366161,13teti13
365717,13teti13
240196,13teti13
235802,13teti13
231733,13teti13
242705,13thSON
284378,13thSON
310100,13thSON
246900,13thSON
281655,13thSON
169427,13thSON
266507,13thSON
184267,13thSON
251247,13thSON
249381,13thSON
349067,13thcaesar
242705,13thcaesar
342942,13thcaesar
335764,13thcaesar
322289,13thcaesar
240980,13thcaesar
270633,13thcaesar
284378,13thcaesar
294484,13thcaesar
295770,13thcaesar
169427,13walker
310100,13walker
281466,13walker
230253,13walker
244114,13walker
227935,13walker
271601,13walker
240196,13walker
