gameid,user,rating
188, woh,3.0
188,-Johnny-,5.0
188,-Morphling-,7.0
188,-mIDE-,7.0
188,...Hammer,9.0
188,.JcK.,6.0
188,0201strong,9.0
188,0321,6.5
188,0BadMan0,10.0
188,0b1_Ita,6.0
188,0lukasz0,8.0
188,1000rpm,8.0
188,10010,10.0
188,111100006,8.0
188,123Apina,8.0
188,123ehdrmfl,6.0
188,13rett,5.0
188,13walker,9.0
188,14allor,1.0
188,14skillz,7.0
188,1991,7.0
188,1No_Momo,10.0
188,1azik,10.0
188,1danny1,7.0
188,1nf1n1ty,5.0
188,221boardgames,6.0
188,245Trioxin,7.0
188,2898000632,9.0
188,2Cool,9.0
188,2PintsLager,10.0
188,2ndinBeautyContest,6.0
188,30PiecesOfSilver,7.0
188,3683d,6.0
188,3HeadedBear,10.0
188,3N1GM4,7.0
188,3dragonfly,8.0
188,3ripmav,7.5
188,3wto3g,10.0
188,49152,8.0
188,4characters,8.0
188,4rch3r,8.0
188,4th stringer,5.0
188,4x scalper,8.5
188,506499317,10.0
188,50mm,10.0
188,5487BAGADES,10.0
188,5niper9,8.0
188,610jajaja,7.0
188,61erhans,8.0
188,62830,8.0
188,633kD4d,8.0
188,651358037,10.0
188,6killer,6.0
188,6penses,9.0
188,7 who were hanged,8.0
188,77 Totters Lane,9.0
188,777OLIVER,8.2
188,7humbs,8.0
188,7inchsplit,10.0
188,7rich7,6.0
188,7thsanctum,9.0
188,7z7z7z,9.0
188,80sGirl,7.0
188,86Oscargarnav,9.0
188,8bit Geezer,5.0
188,9137enrico,10.0
188,961948445,10.0
188,9j14,10.0
188,A Friend of Grouchy,10.0
188,A skinned math nerd,10.0
188,A.Men,7.0
188,A2dn,6.0
188,AADA7A,8.0
188,AAspion,10.0
188,ABigOleBoat,8.0
188,ABrissey,5.0
188,ACGalaga,7.0
188,ACSlayter,10.0
188,ADAM Madrid,4.0
188,AF01,7.0
188,AFHokie,5.8
188,AFrisch,7.0
188,AGChavasse,9.0
188,AGEMOtheZouth,7.0
188,AGENT X4,9.0
188,AGRAYDAY,9.0
188,AGVSTVS,10.0
188,AHShole,5.0
188,AJEddy,7.0
188,AJSGeek,6.0
188,AK78,9.0
188,AKraftyTsTheMan,7.0
188,AKyser,7.0
188,ALGO,8.0
188,ALLLGooD,8.0
188,AMNovak,7.0
188,AMarsReject,8.5
188,AOStowell,10.0
188,ARCHgamer,7.0
188,ASIBbounder,9.0
188,ASSaali,5.0
188,ASalvail,4.0
188,ASpeirs21,6.0
188,ATURN,7.0
188,AThomason,7.0
188,AWTama,10.0
188,AWildEep,7.0
188,AZrugger,10.0
188,Aandrisk,7.0
188,AargleZymurgy,10.0
188,Aaron99,10.0
188,AaronM,7.0
188,Aarona,6.0
188,Aarontu,6.0
188,Abane,10.0
188,Abdul,9.0
188,AbeLincoln,8.0
188,Abekongen,6.0
188,AbleCain,10.0
188,Abner1,10.0
188,Abom1nation,9.0
188,AbominableLogan,9.0
188,Abserd,9.0
188,Abso,5.0
188,Abstractite,10.0
188,Ace Livion,5.0
188,Ace123abc,3.0
188,Ace74,8.0
188,Acharis,10.0
188,Acrux,7.0
188,Actherion,7.0
188,Actonide,10.0
188,Actorios,10.0
188,ActuallyCurtis,10.0
188,Ad3llq101,7.0
188,Adam Szieberth,10.0
188,AdamCatant,5.0
188,AdamKGE,7.0
188,AdamMcD,6.0
188,Adarain,10.0
188,Adbet,9.0
188,AddictedTourist,8.0
188,Addishere,8.0
188,Adeptus,10.0
188,Adietk,10.0
188,Adjudicator,5.0
188,Adkinar,8.0
188,Admiral Fisher,6.0
188,AdmiralDave,10.0
188,AdmiralRandomEvent,5.0
